date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:59	320319/320319	---M--	200	added ('OK')	image/png	etag:W/%224e33f-18accbef396%22	https://jyywiki.cn/pages/ISER/2020/img/times-example.png	jyywiki.cn/pages/ISER/2020/img/times-example.png	(from https://jyywiki.cn/ISER/2020/slides/6.slides.html)
19:59:59	15525/15525	---M--	200	added ('OK')	image/png	etag:W/%223ca5-18accbef396%22	https://jyywiki.cn/pages/ISER/2020/img/av.png	jyywiki.cn/pages/ISER/2020/img/av.png	(from https://jyywiki.cn/ISER/2020/slides/6.slides.html)
20:00:00	2169/2169	---MCZ	404	error ('Not%20Found')	text/html	etag:%22y13uhz964d1o9%22	https://jyywiki.cn/Talks/JSOI24/NOILinux/%22cs-map.jpg%22	jyywiki.cn/Talks/JSOI24/NOILinux/_cs-map.jpg_	(from https://jyywiki.cn/Talks/JSOI24/NOILinux/index.html)
20:00:01	744347/744347	URF---	200	untouched ('OK%20(cached)')	application/mp4		https://jyywiki.cn/Talks/JSOI24/NOILinux/copilot.mp4	jyywiki.cn/Talks/JSOI24/NOILinux/copilot.mp4	(from https://jyywiki.cn/Talks/JSOI24/NOILinux/index.html)
20:00:02	2169/2169	---MCZ	404	error ('Not%20Found')	text/html	etag:%22y13uhz964d1o9%22	https://jyywiki.cn/Talks/JSOI24/Greedy/%22gd.jpg%22	jyywiki.cn/Talks/JSOI24/Greedy/_gd.jpg_	(from https://jyywiki.cn/Talks/JSOI24/Greedy/index.html)
20:00:03	297/297	URF---	200	untouched ('OK%20(cached)')	text/plain		https://jyywiki.cn/Talks/JSOI24/Recursion/fibonacci.cc	jyywiki.cn/Talks/JSOI24/Recursion/fibonacci.cc	(from https://jyywiki.cn/Talks/JSOI24/Recursion/index.html)
20:00:04	941/941	---M--	200	added ('OK')	text/x-c	etag:W/%223ad-18d779dab34%22	https://jyywiki.cn/Talks/JSOI24/Recursion/subset.cc	jyywiki.cn/Talks/JSOI24/Recursion/subset.cc	(from https://jyywiki.cn/Talks/JSOI24/Recursion/index.html)
20:00:05	2169/2169	---MCZ	404	error ('Not%20Found')	text/html	etag:%22y13uhz964d1o9%22	https://jyywiki.cn/Talks/JSOI24/Recursion/%22tower-of-hanoi.jpg%22	jyywiki.cn/Talks/JSOI24/Recursion/_tower-of-hanoi.jpg_	(from https://jyywiki.cn/Talks/JSOI24/Recursion/index.html)
20:00:06	1738/1738	URF---	200	untouched ('OK%20(cached)')	text/plain		https://jyywiki.cn/Talks/JSOI24/Recursion/hanoi_r.cc	jyywiki.cn/Talks/JSOI24/Recursion/hanoi_r.cc	(from https://jyywiki.cn/Talks/JSOI24/Recursion/index.html)
20:00:08	2053/2053	---MCZ	200	added ('OK')	text/x-c	etag:W/%22805-18d739b89ac%22	https://jyywiki.cn/Talks/JSOI24/Recursion/hanoi_main.cc	jyywiki.cn/Talks/JSOI24/Recursion/hanoi_main.cc	(from https://jyywiki.cn/Talks/JSOI24/Recursion/index.html)
20:00:08	28211/28211	---M--	200	added ('OK')	image/png	etag:W/%226e33-18d739b89b4%22	https://jyywiki.cn/Talks/JSOI24/Recursion/tree.png	jyywiki.cn/Talks/JSOI24/Recursion/tree.png	(from https://jyywiki.cn/Talks/JSOI24/Recursion/index.html)
20:00:09	1240/1240	URF---	200	untouched ('OK%20(cached)')	text/plain		https://jyywiki.cn/Talks/JSOI24/Recursion/fib_nr.cc	jyywiki.cn/Talks/JSOI24/Recursion/fib_nr.cc	(from https://jyywiki.cn/Talks/JSOI24/Recursion/index.html)
20:00:10	2715/2715	URF---	200	untouched ('OK%20(cached)')	text/plain		https://jyywiki.cn/Talks/JSOI24/Recursion/hanoi_nr.cc	jyywiki.cn/Talks/JSOI24/Recursion/hanoi_nr.cc	(from https://jyywiki.cn/Talks/JSOI24/Recursion/index.html)
20:00:12	1897/1897	---MCZ	200	added ('OK')	text/x-c	etag:W/%22769-18d779dab34%22	https://jyywiki.cn/Talks/JSOI24/Recursion/eval.cc	jyywiki.cn/Talks/JSOI24/Recursion/eval.cc	(from https://jyywiki.cn/Talks/JSOI24/Recursion/index.html)
20:00:12	18/18	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2002%20May%202025%2012:00:12%20GMT	https://jyywiki.cn/OI/Slides_Author	jyywiki.cn/OI/Slides_Author.51b.delayed	(from https://jyywiki.cn/OI/polynomials-2023.slides.html)
20:00:13	2169/2169	---M--	404	error ('Not%20Found')	text/html	etag:%22y13uhz964d1o9%22	https://jyywiki.cn/OI/Slides_Author/	jyywiki.cn/OI/Slides_Author/index.html	(from https://jyywiki.cn/OI/polynomials-2023.slides.html)
